,movieId,title,genres
48865,177569,Circus Kane (2017),Horror
30417,136227,The Wicked (2013),Fantasy|Horror|Thriller
43267,165643,Those People (2015),Drama|Romance
26492,126160,The Last Diamond (2014),Drama
25798,124535,The Last Flight (2009),Adventure|Drama|Romance
23096,116977,Dumb and Dumber To (2014),Comedy
17178,90249,Real Steel (2011),Action|Drama|Sci-Fi|IMAX
47780,175301,Lemon (2017),Comedy|Drama
13907,72011,Up in the Air (2009),Drama|Romance
10994,47423,Half Nelson (2006),Drama
16193,85510,Sucker Punch (2011),Action|Fantasy|Thriller|IMAX
20106,104155,Clear History (2013),Comedy
44626,168634,Delirium (2014),Comedy
21494,110718,Fading Gigolo (2013),Comedy
52228,184835,Lu Over the Wall (2017),Animation|Children|Fantasy
12245,58783,Youth Without Youth (2007),Drama|Romance|Sci-Fi
46936,173477,Taekwondo (2016),Drama|Romance
46947,173499,Black Butterfly (2017),Thriller
14289,74154,When in Rome (2010),Comedy|Romance
20303,105121,Inescapable (2012),Action|Drama|War
31846,139598,Yellowbird (2014),Animation|Children|Comedy
51659,183619,Den of Thieves (2018),Crime
18517,96832,Holy Motors (2012),Drama|Fantasy|Musical|Mystery|Sci-Fi
24869,122490,Wicked Blood (2014),Action|Drama|Thriller
43159,165407,The Monk and the Demon (2016),Comedy|Mystery|Sci-Fi
14727,78088,Buried (2010),Mystery|Thriller
23627,118776,Lap Dance (2014),Drama
57706,196973,The Shivering Truth (2018),Animation|Comedy
13822,71535,Zombieland (2009),Action|Comedy|Horror
43654,166544,A Kind of Murder (2016),Thriller
14095,72947,Make the Yuletide Gay (2009),Comedy|Romance
29418,133867,Barely Lethal (2015),Action|Adventure|Comedy
49254,178489,Baar Baar Dekho (2016),Action|Drama|Romance
19180,99853,Codependent Lesbian Space Alien Seeks Same (2011),Comedy|Romance|Sci-Fi
55592,192283,Crazy Rich Asians (2018),Comedy
12314,59220,Outsourced (2006),Comedy|Romance
42345,163663,Other People (2016),Drama
41846,162578,Kubo and the Two Strings (2016),Adventure|Animation|Children|Fantasy
22196,113849,Headshot (2011),Crime|Drama|Thriller
15320,80831,Let Me In (2010),Drama|Horror|Mystery
29623,134332,Bhool Bhulaiyaa (2007),Comedy|Horror|Thriller
21620,111443,Chef (2014),Comedy
13039,66097,Coraline (2009),Animation|Fantasy|Thriller
57010,195415,The Ranger (2018),Horror
18995,99007,Warm Bodies (2013),Comedy|Horror|Romance
16302,86298,Rio (2011),Adventure|Animation|Children|Comedy
47867,175475,The Emoji Movie (2017),Animation|Children|Comedy
18187,95058,Cosmopolis  (2012),Drama
40511,159626,Zoombies (2016),Action|Horror|Sci-Fi
14440,75813,Leaves of Grass (2009),Comedy|Crime|Drama|Thriller
17546,91808,Pariah (2011),Drama
11932,55820,No Country for Old Men (2007),Crime|Drama
15509,81711,Scared Shrekless (2010),Adventure|Animation|Comedy
22768,116169,Reign of Assassins (2010),Action
13310,68548,Shuttle (2008),Crime|Drama|Horror|Thriller
47209,174031,Patchwork (2015),Comedy|Horror
12769,63222,JCVD (2008),Action|Drama|Thriller
41390,161588,Meet the Blacks (2016),Comedy|Horror
22484,115147,The Best of Me (2014),Drama|Romance
51755,183831,The Lodgers (2017),Horror
34212,144894,They Found Hell (2015),Horror
60144,202561,Furie (2019),Action
30818,137096,Trigger Man (2007),Action|Drama|Horror|Thriller
25057,122890,Warcraft (2016),Action|Adventure|Fantasy
29640,134368,Spy (2015),Action|Comedy|Crime
42386,163757,Final Flesh (2009),Drama|Horror
28930,132796,San Andreas (2015),Action|Drama|Thriller
42680,164381,Tik Tok (2016),Action|Crime|Mystery
38484,154913,The Ouija Exorcism (2015),Horror
58897,199648,Kim Possible (2019),Action|Adventure|Children|Comedy
47512,174705,Night Skies (2007),Drama|Horror|Mystery|Sci-Fi|Thriller
24354,121284,The Six Wives of Henry Lefay (2009),Comedy
37098,151905,Le Mac (2010),Comedy
29581,134230,Wake Up Sid (2009),Comedy|Drama|Romance
59998,202195,See You Yesterday (2019),Drama|Sci-Fi
35548,148078,Wolf (2008),Action|Adventure|Drama
46277,172119,Monolith (2016),Drama|Thriller
21199,109487,Interstellar (2014),Sci-Fi|IMAX
55721,192561,Hold the Dark (2018),Thriller
37278,152280,Lolo (2015),Comedy
41104,160954,Nerve (2016),Drama|Thriller
49071,177993,Escape Room (2017),(no genres listed)
22624,115828,Copenhagen (2014),Adventure|Drama|Romance
19644,101973,Disconnect (2012),Drama|Thriller
11482,52005,Jindabyne (2006),Crime|Drama|Mystery|Thriller
29774,134680,Taxi (2015),Comedy|Drama
17141,90057,Take Shelter (2011),Drama
11857,55272,We Own the Night (2007),Crime|Drama
17233,90474,Polisse (2011),Crime|Drama
51123,182459,The Apostle (2012),(no genres listed)
52770,186005,Book Club (2018),Comedy|Romance
45170,169778,The Strange Ones (2011),Drama|Mystery
50533,181249,Autumn Blood (2013),Drama|Thriller
48420,176615,Bluebeard (2017),Thriller
17026,89554,Zindagi Na Milegi Dobara (2011),Adventure|Comedy|Drama|Romance
37354,152465,Vipers (2008),Action|Horror|Sci-Fi|Thriller
43387,165895,Spaceman (2016),Comedy|Drama
14712,78039,Blue Valentine (2010),Drama|Romance
54278,189207,Kitty (2016),Fantasy
29700,134521,Casa Grande (2014),Drama
