,userId,movieId,rating,timestamp
635,3,55820,5.0,1453904059
681,3,66097,4.0,1439473449
704,3,71535,4.0,1439473050
705,3,72011,4.0,1439473373
765,3,90249,3.5,1484755890
828,3,109487,4.0,1439472517
836,3,111443,3.5,1566091528
1097,4,109487,5.0,1573938054
2423,12,55820,4.5,1291389886
2442,12,72011,4.0,1291385424
2759,13,55820,4.5,1279572727
2791,13,66097,3.5,1265058966
2815,13,71535,4.0,1261297161
3540,19,90057,4.0,1457217543
3541,19,90474,3.5,1454864011
3596,19,109487,4.0,1445258772
3824,21,109487,5.0,1456285396
4942,31,55820,3.0,1256230102
5092,35,109487,3.5,1511296539
5248,37,55820,5.0,1456484996
5266,37,109487,4.5,1456485551
5477,38,55820,4.0,1417643804
5499,38,71535,3.5,1417644326
6783,52,72011,3.5,1298356144
6813,53,109487,3.0,1459661814
6886,55,55820,3.5,1394135070
7212,57,47423,5.0,1187765503
8290,62,55820,4.0,1206811191
8395,64,109487,5.0,1434644557
8826,69,55820,5.0,1242591451
9018,70,55820,4.0,1255214855
10291,75,55820,2.5,1537208542
10317,75,71535,3.0,1537257459
10319,75,72011,2.5,1537218329
10537,76,55820,3.5,1285219906
10548,76,66097,4.5,1285219848
10562,76,72011,3.5,1285211150
11683,84,72011,3.5,1481830040
11713,84,90057,3.5,1481829863
11721,84,95058,4.0,1481830268
11737,84,109487,3.0,1481832261
12334,91,78039,3.0,1385852640
12390,91,109487,5.0,1415904555
12406,91,116977,1.0,1418932548
12584,93,66097,5.0,1496529667
12593,93,71535,3.0,1496529674
12604,93,86298,3.0,1496530254
12624,93,162578,5.0,1496543560
12625,93,175475,0.5,1502043302
12860,95,109487,2.0,1510353407
12885,95,162578,4.5,1511480582
13380,101,66097,3.5,1468061963
13409,101,109487,2.5,1450710329
14000,108,71535,3.5,1516197939
14021,108,109487,5.0,1516197887
14241,109,55820,3.5,1549714854
14273,109,109487,3.0,1545076265
14602,113,109487,4.0,1467081424
14617,113,122890,3.0,1467081136
14698,114,90249,3.5,1564823150
14721,114,111443,4.0,1540563102
15036,119,109487,0.5,1442376197
15052,119,134368,3.5,1442376446
16351,127,109487,5.0,1425339387
17285,139,55820,3.0,1267727171
17532,142,55820,4.5,1490325776
17548,142,71535,3.5,1490770283
17567,142,109487,4.0,1490325806
17810,146,71535,3.0,1554955775
17827,146,109487,3.5,1554955997
18179,148,109487,4.0,1454942716
18324,151,109487,3.0,1449428810
18459,153,90249,5.0,1568127806
18504,154,66097,3.5,1463793059
18537,154,90249,3.0,1463793306
18809,155,55820,4.5,1196993627
19195,159,55820,4.0,1214783809
20744,169,55820,3.5,1251576656
21548,172,78039,3.5,1444518846
21586,172,109487,2.0,1426677662
21599,172,134368,4.0,1443220395
21828,174,55820,5.0,1553405010
21840,174,66097,1.0,1553405627
21850,174,86298,0.5,1553406848
21877,174,134368,1.0,1553406538
22862,180,109487,5.0,1454267431
23311,181,55820,2.5,1547809037
23347,181,71535,0.5,1547806716
23415,181,109487,2.5,1547805495
24607,187,47423,3.5,1282694555
24828,187,66097,4.5,1277405355
24901,187,71535,4.5,1277403697
24960,187,75813,4.0,1277691734
24985,187,78088,4.0,1291243512
25025,187,80831,5.0,1286749279
25090,187,85510,4.0,1302640510
25098,187,86298,4.0,1303947784
25239,187,101973,4.5,1383377475
25270,187,109487,5.0,1529121477
25960,195,55820,4.0,1545130462
25968,195,71535,3.5,1545129751
25992,195,109487,5.0,1545129639
26869,204,109487,4.5,1436725455
27163,207,55820,4.5,1244229787
27194,207,66097,3.0,1244232809
27277,208,55820,5.0,1466448283
27299,208,85510,3.0,1466447847
27318,208,109487,3.5,1466447498
27331,208,134368,4.5,1466447735
28865,219,109487,3.5,1514096054
28927,220,85510,4.0,1453321158
29220,224,55820,5.0,1204590072
30264,228,47423,3.5,1294691544
30336,228,71535,4.5,1294671575
30353,228,75813,3.5,1294700645
31232,235,66097,5.0,1511746723
31239,235,71535,4.0,1511746654
31632,238,71535,3.0,1262977197
32428,243,71535,3.5,1464280907
32430,243,72011,4.0,1482359908
32495,243,85510,3.5,1464281122
32523,243,90474,4.0,1464459417
32559,243,96832,4.0,1482358463
32611,243,109487,4.0,1464279952
32619,243,111443,4.5,1464351470
32655,243,132796,3.0,1464351994
32691,243,151905,1.5,1464344923
32885,246,55820,4.0,1553429390
32895,246,109487,3.0,1553429131
33439,252,55820,3.5,1551245695
33493,253,109487,3.0,1451363714
33502,253,132796,2.0,1451363632
33926,257,109487,4.5,1436900241
34752,267,55820,4.0,1375907475
35035,273,109487,3.5,1445562075
35093,275,71535,5.0,1517619231
35110,275,109487,5.0,1517620208
36027,282,66097,5.0,1483695810
36034,282,162578,5.0,1483692618
36054,283,109487,5.0,1430628044
36393,284,55820,4.0,1458001693
36412,284,66097,3.0,1431926330
36432,284,109487,3.0,1431924784
36988,286,72011,4.0,1509834244
37205,290,109487,2.5,1501193892
37378,292,55820,4.5,1378333736
37386,292,72011,4.0,1378334888
37572,294,66097,3.5,1530569081
38062,296,55820,3.0,1322225168
38099,296,72011,5.0,1322154511
38313,300,109487,3.0,1462301766
38480,301,55820,2.5,1484676629
38495,301,71535,3.0,1484675479
38539,301,109487,4.0,1484675469
38687,302,109487,4.5,1470857061
38728,303,109487,3.5,1484297999
39199,308,72011,5.0,1358949710
40136,318,47423,4.0,1186515175
40416,320,72011,4.5,1308544257
40980,321,55820,4.0,1540496974
41024,321,71535,3.5,1540497035
41116,321,109487,3.5,1540496944
41148,321,134368,4.0,1540497964
41716,324,109487,5.0,1433768938
41737,324,132796,2.5,1433768621
42428,335,109487,5.0,1562165174
42466,336,55820,2.5,1233062596
43822,355,71535,4.5,1534193430
43836,355,80831,4.0,1534194438
43848,355,85510,4.5,1534195502
44451,357,66097,3.5,1538250430
44469,357,71535,3.5,1539542722
44470,357,72011,3.5,1367159828
44497,357,86298,4.0,1486883128
44578,357,132796,2.5,1446969835
44580,357,134680,3.5,1523295893
44614,357,192283,2.5,1573885861
44715,358,55820,4.5,1459593053
44730,358,78039,2.5,1459593255
45280,362,109487,3.5,1444258220
45545,364,55820,4.5,1351762432
45575,365,132796,2.5,1450545158
45886,368,55820,3.0,1402798979
45911,368,71535,4.0,1402865409
45913,368,72011,4.0,1477466306
45954,368,109487,3.5,1477449809
47226,379,55820,3.0,1337172870
47380,382,71535,5.0,1450753428
47408,382,86298,4.5,1450754317
47417,382,90249,5.0,1450753304
47460,382,109487,5.0,1450752332
48020,390,109487,4.0,1490387196
48197,394,90249,2.0,1507313380
48207,394,109487,5.0,1507312671
48417,395,47423,3.5,1319159988
48466,395,78039,4.0,1312977307
48872,397,86298,4.0,1465666815
48876,397,109487,5.0,1465664763
49450,402,55820,3.5,1505734974
49476,402,66097,4.0,1285008840
49488,402,71535,4.0,1490565772
49515,402,85510,3.0,1434376284
49567,402,109487,3.5,1415831668
49938,406,71535,5.0,1477189729
49940,406,72011,4.5,1477192640
49975,406,90249,4.5,1477189732
49995,406,99007,4.5,1477190052
50024,406,109487,4.0,1477190168
50343,408,55820,3.5,1225292013
50728,411,55820,4.5,1294314777
50811,413,109487,4.0,1457447418
51248,416,47423,3.5,1166971925
51447,418,55820,3.5,1299800548
51517,419,160954,3.0,1523060462
51812,425,71535,4.0,1344281325
52488,426,47423,3.5,1354671996
52537,426,55820,5.0,1281843460
52604,426,71535,3.5,1287282413
52607,426,72011,4.0,1287282617
52626,426,78039,4.0,1354259405
52627,426,78088,2.5,1435677933
52687,426,90057,3.5,1427861495
52772,426,111443,3.0,1427916029
53064,429,109487,4.5,1549052124
54565,439,55820,4.5,1564356704
54575,439,66097,4.0,1564418526
54610,439,109487,3.5,1564356301
54620,439,134368,3.0,1564418394
55116,440,55820,3.5,1230019231
55148,440,66097,4.0,1235694319
55605,444,109487,4.0,1504397137
55751,445,66097,3.0,1470564505
55760,445,72011,4.0,1470564466
56519,449,86298,2.5,1491787554
56538,449,109487,3.0,1493320961
56569,449,162578,4.0,1491879762
57097,450,55820,2.5,1439794196
57164,450,72011,3.0,1439794174
57182,450,75813,3.5,1439794163
57242,450,90474,3.5,1439794164
57334,450,109487,1.0,1439794037
57626,456,109487,4.0,1549173593
58132,460,71535,4.5,1482766289
58170,460,85510,4.0,1482750396
58172,460,86298,3.5,1482750490
58184,460,90249,4.5,1482750415
58220,460,99007,5.0,1482750467
58255,460,109487,5.0,1482751351
58271,460,122890,5.0,1482751895
58302,460,162578,4.0,1482750094
59373,469,66097,3.0,1495365997
59386,469,74154,2.5,1495364338
59458,469,134368,2.5,1495365160
59526,471,90249,4.0,1500418609
59534,471,109487,5.0,1499822621
59964,475,109487,5.0,1528719306
60631,478,66097,4.0,1496251352
60637,478,71535,5.0,1493653898
60645,478,109487,5.0,1493653794
60857,481,109487,4.5,1471021781
61155,486,109487,4.5,1518546468
61399,489,55820,4.0,1558763309
61438,489,78088,4.0,1558763304
61508,489,109487,5.0,1558763311
61721,491,55820,4.0,1514412693
61780,491,109487,4.5,1509192496
